scorer,DLC_Resnet101_ThumbMobileMar11shuffle1_snapshot_240,DLC_Resnet101_ThumbMobileMar11shuffle1_snapshot_240,DLC_Resnet101_ThumbMobileMar11shuffle1_snapshot_240,DLC_Resnet101_ThumbMobileMar11shuffle1_snapshot_240,DLC_Resnet101_ThumbMobileMar11shuffle1_snapshot_240,DLC_Resnet101_ThumbMobileMar11shuffle1_snapshot_240,DLC_Resnet101_ThumbMobileMar11shuffle1_snapshot_240,DLC_Resnet101_ThumbMobileMar11shuffle1_snapshot_240,DLC_Resnet101_ThumbMobileMar11shuffle1_snapshot_240,DLC_Resnet101_ThumbMobileMar11shuffle1_snapshot_240,DLC_Resnet101_ThumbMobileMar11shuffle1_snapshot_240,DLC_Resnet101_ThumbMobileMar11shuffle1_snapshot_240,DLC_Resnet101_ThumbMobileMar11shuffle1_snapshot_240,DLC_Resnet101_ThumbMobileMar11shuffle1_snapshot_240,DLC_Resnet101_ThumbMobileMar11shuffle1_snapshot_240,DLC_Resnet101_ThumbMobileMar11shuffle1_snapshot_240,DLC_Resnet101_ThumbMobileMar11shuffle1_snapshot_240,DLC_Resnet101_ThumbMobileMar11shuffle1_snapshot_240,DLC_Resnet101_ThumbMobileMar11shuffle1_snapshot_240,DLC_Resnet101_ThumbMobileMar11shuffle1_snapshot_240,DLC_Resnet101_ThumbMobileMar11shuffle1_snapshot_240
bodyparts,thumb_tip,thumb_tip,thumb_tip,thumb_middle,thumb_middle,thumb_middle,thumb_bottom,thumb_bottom,thumb_bottom,phone_top_left,phone_top_left,phone_top_left,phone_top_right,phone_top_right,phone_top_right,phone_bottom_left,phone_bottom_left,phone_bottom_left,phone_bottom_right,phone_bottom_right,phone_bottom_right
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1125.9968,752.079,0.8400417,1234.4725,750.7576,0.35220355,1224.8357,752.12024,0.025297742,918.4305,363.96277,0.81749207,914.89886,867.721,0.43835783,1151.8312,367.05588,0.86978346,1487.8131,458.41367,0.16507846
1,1125.3539,752.0227,0.8923246,1231.2373,744.9441,0.49522042,1222.2273,750.0661,0.027656019,917.84186,363.67233,0.7558177,914.5738,867.49884,0.44496733,1151.8302,367.38544,0.89122796,1487.7766,459.33716,0.14631177
2,1123.7811,752.68665,0.88891995,1230.571,742.6488,0.47721076,1220.6448,748.1116,0.027602594,917.5288,363.77914,0.76440674,913.8888,867.7373,0.47512463,1150.9504,365.8218,0.85977674,1487.4999,459.48236,0.15340261
3,1122.5338,756.1757,0.82979184,1224.5559,743.0182,0.5716631,1220.8197,743.9069,0.0280747,917.76184,364.20688,0.78129274,913.96783,869.45734,0.5350057,1150.9479,367.37228,0.86252016,1487.3453,458.44647,0.18396914
4,1122.1351,758.1694,0.8462268,1222.1927,744.4788,0.6364078,1211.8386,750.60425,0.032694098,918.07117,365.21094,0.833996,914.84607,869.25073,0.5121771,1151.3004,369.1601,0.8919534,1487.8414,459.00446,0.12692688
5,1120.556,761.44196,0.7574268,1220.7859,748.97046,0.51045555,1210.7909,751.96857,0.03354712,918.2927,364.524,0.8506203,917.38104,865.195,0.57916737,1150.697,370.38867,0.8494648,1247.9763,64.30767,0.1552937
6,1119.8356,762.06024,0.82622623,1218.0184,751.0211,0.42628324,1312.1274,811.86957,0.048008863,917.84094,363.06186,0.84484583,918.8365,863.4836,0.500113,1151.521,367.37064,0.84969157,1247.6418,62.690426,0.24114974
7,1119.2087,762.1744,0.82727593,1218.6694,748.45984,0.53125167,1310.9653,811.72296,0.044464875,918.18164,361.74982,0.8606021,1303.5927,375.69,0.47324228,1150.214,365.0075,0.8843871,1247.2604,59.663895,0.26346344
8,1120.2982,757.02454,0.8570673,1219.1781,744.03937,0.57463765,1209.541,749.4037,0.02983632,918.73724,358.60144,0.8107517,920.9203,852.3977,0.49444264,1150.1062,364.25272,0.892346,1246.4497,57.727875,0.36833727
9,1124.3527,744.86676,0.6765242,1224.9187,737.77734,0.5390833,1218.6853,741.72723,0.030968461,922.85333,354.8622,0.88642913,921.77374,850.4137,0.49134406,1153.6488,360.97095,1,1460.6066,362.59042,0.1629536
10,1130.9874,725.9622,0.8161853,1233.1602,720.7038,0.53289825,846.03015,326.94354,0.05238023,928.63635,347.6824,0.8479556,926.30115,839.0987,0.49301654,1158.5132,358.04883,1,1436.0255,269.65082,0.17286822
11,1138.613,706.68,0.8796946,1237.5021,699.4012,0.29218248,1232.1941,701.3516,0.021762332,933.9954,345.64066,0.9439262,926.1518,836.1726,0.5217046,1160.2087,352.3062,0.923416,1437.5055,265.61902,0.29547945
12,1145.3464,687.85864,0.8900916,1240.6179,682.19507,0.4538537,1234.9762,686.35974,0.028162383,935.8588,340.13376,0.69841444,927.628,832.40955,0.50166816,1161.3699,346.5085,0.9629558,1488.9094,444.78607,0.11957514
13,1151.2239,670.9983,0.92506814,1249.7618,679.59753,0.29097718,1238.7433,684.5104,0.017222498,936.9918,335.92557,0.70790684,1304.3907,359.7909,0.46157387,1162.5215,343.9044,1,1488.4801,442.1278,0.16765144
14,1157.7345,658.2639,0.8546954,1254.4447,679.2222,0.20234884,1252.0397,683.0449,0.017000556,935.09204,332.15347,0.77777904,926.8012,824.82764,0.45436108,1163.0074,342.26773,1,1487.1825,438.66254,0.19040082
15,1160.5571,646.3285,0.8763162,1254.1666,672.7831,0.21602415,831.15485,311.31244,0.0700049,934.39954,330.98285,0.8488247,925.5182,824.1397,0.51816595,1160.7252,341.3306,1,1461.4569,346.58203,0.21465652
16,1171.9581,630.3763,0.8002219,1270.6816,668.4769,0.6631389,830.13995,311.49826,0.03993153,931.6922,332.31693,1,923.3417,826.8055,0.7221574,1157.8807,341.22034,1,1140.9319,834.4786,0.6300729
17,1181.7767,614.16876,0.71661925,1276.6335,668.348,0.70624304,1269.5522,674.6206,0.031933,930.4228,332.25098,1,922.4051,824.0874,0.72983915,1155.7722,341.72327,1,1140.3463,834.191,0.6982984
18,1188.5707,609.4203,0.53486437,1275.5437,664.8421,0.5586158,1340.483,803.3795,0.2847796,929.74255,333.62106,1,923.31635,828.97876,0.5184571,1156.6321,341.1467,1,1137.0651,833.3315,0.7818481
19,1817.4277,879.5742,0.14652127,1276.2493,662.65454,0.5131589,1339.8959,800.9607,0.2639482,930.01874,332.69177,1,923.0879,829.5402,0.544528,1156.3027,340.9226,1,1136.4131,833.4915,0.83337015
20,1817.2263,879.4433,0.12709354,1278.903,662.5671,0.45395333,1341.0118,799.4622,0.39242858,929.2028,331.84406,1,922.50543,829.7111,0.5108978,1156.4808,340.18863,1,1135.9381,833.0323,0.853282
21,1849.8888,878.0439,0.1287224,1278.8125,661.5409,0.43774348,1340.3156,800.1131,0.3712092,928.68585,331.91467,1,923.08826,829.0352,0.50115335,1156.8613,340.16037,1,1136.0691,833.3922,0.8529687
22,1448.4518,128.307,0.17351338,1281.202,663.92554,0.43901676,1267.6533,905.2835,0.18303758,929.85834,330.92587,1,1304.8262,345.95718,0.4153696,1157.9999,340.48242,0.9249042,1138.2671,833.28235,0.84080744
23,1242.8557,222.55891,0.1733671,1279.6056,663.89233,0.43042827,1266.7184,904.4218,0.19419135,930.3638,329.43607,1,1305.0254,345.28616,0.41250378,1158.2924,339.55603,0.9247269,1136.7837,833.1766,0.85584384
24,1448.7856,128.39496,0.16983365,1280.2407,664.87555,0.5188582,1274.6683,668.39124,0.16347754,931.3572,328.5543,1,1306.7302,344.93292,0.43066615,1159.1895,337.75583,0.93149245,1137.6426,833.0243,0.88107586
25,1786.3839,718.7509,0.16377908,1271.5833,663.7569,0.48433223,1269.4547,665.8888,0.20898065,932.92004,327.8714,1,1309.292,344.5476,0.49987945,1159.8226,337.0734,0.88830453,1138.4655,832.5164,0.872095
26,1186.9413,599.90247,0.48153326,1271.1333,663.5871,0.407214,1265.9885,666.35455,0.13949603,934.7176,326.53888,1,1309.475,343.99448,0.5028212,1160.8363,335.93,0.84699684,1140.7201,831.4504,0.8456036
27,1177.8086,602.0545,0.52099925,1265.34,665.29706,0.461783,1259.7318,668.84814,0.21130928,934.03424,327.3954,1,1309.7673,344.27536,0.51147956,1160.5465,336.86017,0.84737235,1139.4077,833.3597,0.8950729
28,1172.1466,610.697,0.32576025,1255.8301,669.3673,0.27560207,1334.1047,801.66327,0.518964,933.1291,328.72388,1,1308.7028,345.9454,0.49934775,1158.7676,338.78656,1,1142.3673,831.47217,0.24656901
29,1164.9829,621.04376,0.6941259,1253.8964,672.5557,0.36504334,1336.0483,799.9701,0.49633044,933.083,328.83582,1,1307.3967,346.27432,0.47453597,1158.636,338.51437,1,1141.5073,830.8173,0.43405545
30,1156.0173,628.90137,0.87101585,1252.9688,669.6624,0.42122635,1338.7373,794.3451,0.4932911,932.3051,328.07278,1,924.3797,820.78326,0.665281,1158.7769,337.15195,1,1249.3026,12.345264,0.2477656
31,1154.5132,637.9786,0.76580924,1253.6136,669.49603,0.45270818,1339.0612,794.8294,0.543136,934.3796,326.58066,1,925.4145,821.24445,0.587303,1160.6448,335.84525,0.93737453,1249.6552,12.651159,0.21529074
32,1148.481,648.88794,1,1246.6411,670.14496,0.77559555,1239.8096,677.22095,0.036963604,938.3195,325.2927,0.8587127,1306.6886,348.9135,0.5202269,1163.9379,334.36014,0.90082616,1438.4756,251.5336,0.3267668
33,1146.1527,659.2332,0.90292895,1245.1548,673.33386,0.7298609,1238.2229,679.96576,0.03706004,938.8363,324.9399,0.9000328,1307.7983,348.982,0.511486,1164.8335,333.6876,0.9229271,1438.9764,251.92165,0.32647604
34,1148.6077,667.4663,0.81276673,1244.9084,680.41284,0.5977764,1236.7429,685.4583,0.03245411,935.29236,326.61295,0.8815355,925.827,821.0725,0.44940865,1165.727,334.4219,0.8642728,1437.7739,253.36278,0.25640965
35,1145.4445,678.534,0.41853234,1236.6813,678.2589,0.52992797,1227.2048,685.145,0.026993832,934.6942,325.66977,0.8951233,1305.6162,351.74313,0.47543198,1164.4298,333.73892,0.87655437,1436.1066,253.01994,0.27377173
36,1140.4376,682.53094,0.27664918,1238.4586,677.53705,0.5623412,1232.7372,684.59924,0.03127724,932.35724,325.475,0.9795477,1306.1405,350.79962,0.4874033,1161.7347,330.24802,0.9200473,1435.2938,253.94765,0.28800607
37,1140.5511,683.01996,0.54419696,1237.3229,679.75214,0.5052895,1226.5612,685.9311,0.027675424,933.4788,325.1325,0.9677049,926.1589,821.5959,0.48193008,1162.0198,330.83798,0.9136072,1435.4316,253.12703,0.27311364
